file_path,file_name,source_type,product_name,dataset_name,title,platform_id,scene_id,start_time,end_time,x_size,y_size,band_id,band_wavelength,scene_center_lat,scene_center_lon
raw/goes_cmi/ABI-L2-CMIPC_2025_107_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251071801172_e20251071803558_c20251071804054.nc,ABI-L2-CMIPC_2025_107_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251071801172_e20251071803558_c20251071804054.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20251071801172_e20251071803558_c20251071804054.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2025-04-17 18:01:17.200000+00:00,2025-04-17 18:03:55.800000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2025_108_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251081801173_e20251081803558_c20251081804073.nc,ABI-L2-CMIPC_2025_108_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251081801173_e20251081803558_c20251081804073.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20251081801173_e20251081803558_c20251081804073.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2025-04-18 18:01:17.300000+00:00,2025-04-18 18:03:55.800000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2025_109_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251091801174_e20251091803559_c20251091804053.nc,ABI-L2-CMIPC_2025_109_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251091801174_e20251091803559_c20251091804053.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20251091801174_e20251091803559_c20251091804053.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2025-04-19 18:01:17.400000+00:00,2025-04-19 18:03:55.900000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2025_110_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251101801175_e20251101803560_c20251101804042.nc,ABI-L2-CMIPC_2025_110_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251101801175_e20251101803560_c20251101804042.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20251101801175_e20251101803560_c20251101804042.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2025-04-20 18:01:17.500000+00:00,2025-04-20 18:03:56+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2025_111_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251111801176_e20251111803561_c20251111804066.nc,ABI-L2-CMIPC_2025_111_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251111801176_e20251111803561_c20251111804066.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20251111801176_e20251111803561_c20251111804066.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2025-04-21 18:01:17.600000+00:00,2025-04-21 18:03:56.100000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2025_112_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251121801177_e20251121803562_c20251121804065.nc,ABI-L2-CMIPC_2025_112_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251121801177_e20251121803562_c20251121804065.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20251121801177_e20251121803562_c20251121804065.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2025-04-22 18:01:17.700000+00:00,2025-04-22 18:03:56.200000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2025_113_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251131801178_e20251131803563_c20251131804049.nc,ABI-L2-CMIPC_2025_113_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251131801178_e20251131803563_c20251131804049.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20251131801178_e20251131803563_c20251131804049.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2025-04-23 18:01:17.800000+00:00,2025-04-23 18:03:56.300000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2025_114_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251141801179_e20251141803564_c20251141804071.nc,ABI-L2-CMIPC_2025_114_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251141801179_e20251141803564_c20251141804071.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20251141801179_e20251141803564_c20251141804071.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2025-04-24 18:01:17.900000+00:00,2025-04-24 18:03:56.400000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2025_115_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251151801170_e20251151803555_c20251151804062.nc,ABI-L2-CMIPC_2025_115_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251151801170_e20251151803555_c20251151804062.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20251151801170_e20251151803555_c20251151804062.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2025-04-25 18:01:17+00:00,2025-04-25 18:03:55.500000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2025_116_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251161801171_e20251161803556_c20251161804054.nc,ABI-L2-CMIPC_2025_116_18_OR_ABI-L2-CMIPC-M6C13_G19_s20251161801171_e20251161803556_c20251161804054.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20251161801171_e20251161803556_c20251161804054.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2025-04-26 18:01:17.100000+00:00,2025-04-26 18:03:55.600000+00:00,2500,1500,13,10.329999923706055,,
